[nan nan nan nan]
[        nan -0.50696543 -0.44727655 -0.51917673]
[       nan 0.98199333 1.09668913 0.81487069]
[        nan -1.1847481  -1.21733425 -1.07162931]
[       nan 0.98199333 0.32663143 1.44265772]
[        nan -0.91435608 -0.75529963 -0.97432232]
[        nan -0.85306722 -0.68599444 -0.9272383 ]
[       nan 0.81615288 1.09283884 0.53236653]
[        nan -1.00448675 -0.8323054  -1.06849038]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -0.19331068 -0.0622477  -0.28689553]
[       nan 0.90628356 1.20834749 0.59514523]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.54576086 0.82331864 0.28125172]
[        nan -1.72553215 -1.98739194 -1.38552282]
[        nan -1.1847481  -1.02481982 -1.22543713]
[        nan -0.64396405 -0.8323054  -0.44384229]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan -0.91435608 -0.8323054  -0.91468256]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 2.87113228 3.2104975  2.38433825]
[       nan 0.79812675 1.09283884 0.50097718]
[        nan -0.56104383 -0.92086203 -0.22411683]
[       nan 0.79812675 1.09283884 0.50097718]
[       nan 0.61426017 0.89262384 0.34089149]
[       nan 0.6178654  0.90032441 0.34403043]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.75212086 -0.80535338 -0.65415094]
[        nan -0.91435608 -1.02481982 -0.7577358 ]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan  0.79812675 -0.44727655  1.75655123]
[       nan 0.26094793 0.32663143 0.18708367]
[        nan -0.57546474 -0.95551463 -0.22411683]
[        nan  0.79812675 -0.44727655  1.75655123]
[       nan 0.41957791 0.68855855 0.17138899]
[       nan 0.71520653 1.0042822  0.42878167]
[        nan -1.24603696 -1.10182559 -1.27252116]
[        nan  0.09871271  0.34588287 -0.10797623]
[       nan 0.84859993 1.14289259 0.54492227]
[        nan -1.45514013 -1.40984867 -1.38552282]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -0.69804246 -0.56278521 -0.75459686]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -0.19331068 -0.25476213 -0.12994878]
[        nan -1.27127355 -1.12107703 -1.30077157]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan -1.42629831 -1.28663944 -1.43574578]
[       nan 0.80173198 0.71166028 0.81487069]
[       nan 0.44120928 0.32663143 0.50097718]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.47005109 0.68085797 0.26241811]
[       nan 0.98199333 1.28920355 0.66106287]
[        nan  0.79812675 -0.44727655  1.75655123]
[       nan 0.44120928 0.32663143 0.50097718]
[        nan -1.5452708  -1.60236309 -1.38552282]
[        nan  0.09510748  0.3381823  -0.11111517]
[       nan 0.3510786  0.32663143 0.34403043]
[       nan 2.01669348 2.39423634 1.56193725]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan -1.27487878 -1.21733425 -1.22543713]
[       nan 0.87383652 1.16984461 0.56689482]
[        nan -0.52138633 -0.31636674 -0.64787307]
[       nan 0.44120928 0.32663143 0.50097718]
[        nan -0.64396405 -0.44727655 -0.75459686]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.28344135 -0.44727655 -0.12994878]
[        nan -1.36500945 -1.60236309 -1.07162931]
[       nan 0.98199333 1.09668913 0.81487069]
[        nan -0.56464906 -0.36642049 -0.68554029]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.98199333 1.09668913 0.81487069]
[        nan -1.00809198 -0.84000598 -1.07162931]
[        nan -0.60791178 -0.40877367 -0.72320751]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan  0.02300294  0.26117653 -0.17075493]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan -0.52499156 -0.32021703 -0.65101201]
[        nan -1.27487878 -1.21733425 -1.22543713]
[        nan -1.49840285 -1.40984867 -1.46085727]
[        nan -0.56464906 -0.48577944 -0.58509437]
[       nan 1.34251603 1.48171797 1.1287642 ]
[       nan 1.61290805 1.6742324  1.44265772]
[        nan -1.08740697 -0.96321521 -1.10929653]
[        nan -1.09461743 -0.92856261 -1.14696375]
[       nan 0.27536883 0.53454701 0.04583159]
[       nan 0.98199333 1.09668913 0.81487069]
[       nan 1.34251603 1.48171797 1.1287642 ]
[       nan 0.98559855 1.28920355 0.66420181]
[       nan 0.89546788 1.16214403 0.61083991]
[        nan -0.10318    -0.0622477  -0.12994878]
[        nan -0.28344135 -0.0622477  -0.44070335]
[        nan -0.51057065 -0.30481588 -0.63845627]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.93152015 1.23529951 0.61711778]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 0.84138947 1.1390423  0.5386444 ]
[        nan -0.34112498 -0.12385232 -0.49092632]
[        nan -0.56104383 -0.40107309 -0.65101201]
[        nan -0.79898881 -0.62438982 -0.8832932 ]
[        nan -0.91435608 -0.8323054  -0.91154362]
[        nan -1.36500945 -1.60236309 -1.07162931]
[       nan 0.26094793 0.42288864 0.10861029]
[       nan 1.42543625 1.76278903 1.04715189]
[       nan 0.7116013  0.71166028 0.65792394]
[       nan 1.12980763 1.44706538 0.78975921]
[       nan 0.7116013  0.42673893 0.89334407]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan -0.10318    -0.0622477  -0.12994878]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan -0.89632994 -0.71679675 -0.97432232]
[        nan -0.28344135 -0.44727655 -0.12994878]
[       nan 0.88825742 1.09283884 0.65792394]
[        nan -0.8242254  -0.73604819 -0.83620918]
[       nan 0.80173198 0.71166028 0.81487069]
[       nan 1.34251603 1.48171797 1.1287642 ]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -0.79898881 -0.62438982 -0.8832932 ]
[        nan -0.44567657 -0.25476213 -0.56626076]
[       nan 0.80173198 0.71166028 0.81487069]
[       nan 0.83778425 1.13519201 0.53550547]
[       nan 1.88330008 1.86674682 1.75655123]
[       nan 0.98199333 1.09668913 0.81487069]
[       nan 0.7116013  0.9041747  0.50097718]
[       nan 1.45427806 1.79359134 1.07226337]
[       nan 1.88330008 1.86674682 1.75655123]
[        nan -0.52499156 -0.3317679  -0.6415952 ]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan -0.70525291 -0.51658174 -0.80795876]
[       nan 1.46869897 1.80899249 1.08481911]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.47365632 0.71936086 0.24044557]
[       nan 0.26094793 0.32663143 0.18708367]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan -0.44567657 -0.23936097 -0.58195543]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 1.88330008 1.86674682 1.75655123]
[       nan 0.98199333 1.09668913 0.81487069]
[        nan -1.76158442 -1.64086598 -1.72766675]
[        nan -1.1847481  -1.12107703 -1.15010269]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -0.10318     0.03400951 -0.20842215]
[        nan -1.27487878 -1.21733425 -1.22543713]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -0.4637027  -0.35101934 -0.52231567]
[        nan -0.97203971 -0.7976528  -1.04023996]
[        nan -0.60791178 -0.46652799 -0.67612349]
[       nan 0.51331382 0.78866605 0.25300131]
[        nan -0.73409473 -0.63979098 -0.7577358 ]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 1.16225468 1.09668913 1.1287642 ]
[        nan -0.72688427 -0.66674299 -0.72320751]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan -1.36500945 -1.60236309 -1.07162931]
[       nan 0.88104697 1.10053941 0.63909033]
[       nan 1.38938398 1.72428615 1.01576254]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -1.74355829 -1.64086598 -1.6962774 ]
[       nan 0.87023129 1.16214403 0.57003375]
[        nan -1.09461743 -1.02481982 -1.06849038]
[       nan 0.5241295  0.80021691 0.26241811]
[        nan -0.35554589 -0.15465463 -0.49092632]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -0.28344135 -0.44727655 -0.12994878]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.60791178 -0.46652799 -0.67612349]
[        nan -1.5452708  -1.50610588 -1.4639962 ]
[        nan -0.25099431 -0.0314454  -0.41245294]
[       nan 0.4303936  0.70010941 0.1808058 ]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.44120928 0.32663143 0.50097718]
[       nan 0.44120928 0.32663143 0.50097718]
[        nan -1.00448675 -1.21733425 -0.7577358 ]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.77735745 -0.5974378  -0.86445959]
[        nan -0.72688427 -0.66674299 -0.72320751]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -1.00448675 -0.8323054  -1.06849038]
[        nan -0.28344135 -0.44727655 -0.12994878]
[       nan 1.88330008 1.86674682 1.75655123]
[        nan -0.4637027  -0.35101934 -0.52231567]
[       nan 0.98199333 1.09668913 0.81487069]
[       nan 1.88330008 1.86674682 1.75655123]
[        nan -0.2365734  -0.01219395 -0.3998972 ]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan  0.10592316  0.35358345 -0.10169836]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 1.47590943 1.81669307 1.09109698]
[        nan -0.31228317 -0.09305001 -0.46581483]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan  0.2573427  -0.0622477   0.49783825]
[       nan 1.16225468 1.09668913 1.1287642 ]
[        nan -0.82783063 -0.64749155 -0.91468256]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -1.00448675 -0.92856261 -0.990017  ]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan  0.79812675 -0.44727655  1.75655123]
[       nan 1.52277738 1.48171797 1.44265772]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan -0.51057065 -0.30481588 -0.63845627]
[        nan -0.64396405 -0.44727655 -0.75459686]
[        nan -0.43125566 -0.24706155 -0.54742715]
[        nan -0.64396405 -0.8323054  -0.44384229]
[        nan -1.40106172 -1.25583713 -1.41377324]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -0.55383338 -0.44727655 -0.59765011]
[       nan 1.70303873 1.48171797 1.75655123]
[      nan 1.4326467 1.6742324 1.1287642]
[        nan -0.32309885 -0.10845117 -0.47523164]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.10318    -0.0622477  -0.12994878]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan -0.28344135 -0.44727655 -0.12994878]
[        nan  0.2573427  -0.0622477   0.49783825]
[       nan 0.44120928 0.32663143 0.50097718]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan -0.64396405 -0.8323054  -0.44384229]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.35554589 -0.21625924 -0.44070335]
[       nan 2.03111438 2.4096375  1.57449299]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.75933132 -0.57048578 -0.85504279]
[        nan -0.17528454  0.04941066 -0.3465353 ]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.80173198 0.9041747  0.65792394]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.56104383 -0.92086203 -0.22411683]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -1.01169721 -0.84000598 -1.07476825]
[        nan -0.60791178 -0.40877367 -0.72320751]
[       nan 0.36549951 0.63080422 0.12430497]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -0.55383338 -0.44727655 -0.60078904]
[       nan 2.96126295 3.40301192 2.38433825]
[        nan -1.40827218 -1.31359146 -1.38238389]
[        nan -0.4637027  -0.73604819 -0.20842215]
[       nan 0.50610336 0.78096547 0.24672344]
[        nan -0.39159816 -0.18160665 -0.53487141]
[       nan 0.70078562 0.98503076 0.41622593]
[        nan -0.10318    -0.0622477  -0.12994878]
[       nan 1.16225468 1.09668913 1.1287642 ]
[        nan -1.1847481  -1.12107703 -1.15010269]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -1.77961056 -1.67936886 -1.72766675]
[       nan 0.26094793 0.32663143 0.18708367]
[       nan 0.22129043 0.4690921  0.0018865 ]
[       nan 0.26815838 0.52684643 0.03955372]
[        nan -0.31228317 -0.0969003  -0.46581483]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan -1.09461743 -0.9324129  -1.14696375]
[        nan -0.87830381 -0.71679675 -0.94293297]
[       nan 0.62147063 0.80791749 0.4225038 ]
[       nan 0.6178654  0.85412095 0.37855871]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan -1.72553215 -1.98739194 -1.38552282]
[       nan 0.62147063 0.80791749 0.4225038 ]
[        nan -0.28344135 -0.44727655 -0.12994878]
[        nan -0.14644273  0.08406326 -0.32142382]
[        nan -1.5452708  -1.40984867 -1.53933064]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan -0.56104383 -0.92086203 -0.22411683]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -0.64396405 -0.63979098 -0.60078904]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan -0.8242254  -0.63979098 -0.91154362]
[        nan -0.58628042 -0.38567194 -0.7043739 ]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan -0.64396405 -0.8323054  -0.44384229]
[       nan 1.77153804 2.12856644 1.34848966]
[        nan  0.0842918   0.33048172 -0.12053197]
[        nan -1.36500945 -1.60236309 -1.07162931]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.73409473 -0.63979098 -0.7577358 ]
[       nan 1.16225468 1.09668913 1.1287642 ]
[        nan  0.17442248  0.42673893 -0.04205859]
[        nan -1.41908786 -1.29434002 -1.41377324]
[       nan 0.98199333 1.09668913 0.81487069]
[        nan -0.56104383 -0.92086203 -0.22411683]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -0.72327905 -0.5319829  -0.82365344]
[       nan 0.44120928 0.32663143 0.50097718]
[        nan  0.15279112  0.4036372  -0.0608922 ]
[       nan 0.59623404 0.85797124 0.33775256]
[       nan 0.76207448 1.05433595 0.46958783]
[       nan 0.26094793 0.32663143 0.18708367]
[        nan -0.690832   -0.50118059 -0.79540302]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.98199333 1.09668913 0.81487069]
[       nan 0.44120928 0.32663143 0.50097718]
[       nan 1.21272785 1.47786769 0.90903875]
[        nan -0.93959267 -0.88620944 -0.91154362]
[       nan 0.80173198 0.71166028 0.81487069]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 0.70799607 0.70780999 0.65792394]
[        nan -0.64396405 -0.8323054  -0.44384229]
[        nan -1.07659129 -0.94781405 -1.09987973]
[       nan 0.62147063 0.80791749 0.4225038 ]
[        nan -0.10318    -0.0622477  -0.12994878]
[       nan 2.06356143 2.25177567 1.75655123]
[       nan 1.88330008 1.86674682 1.75655123]
[       nan 2.03111438 2.4096375  1.57449299]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -1.81566283 -1.79487752 -1.6962774 ]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan -1.17753765 -1.01711925 -1.21915926]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -1.27487878 -1.31359146 -1.15010269]
[       nan 0.3510786  0.42288864 0.26555705]
[        nan -0.52138633 -0.31636674 -0.64787307]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 1.42904148 1.67038211 1.1287642 ]
[       nan 1.78956418 2.14781788 1.36418434]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 0.51691904 0.78866605 0.25614024]
[        nan -1.00448675 -1.21733425 -0.7577358 ]
[        nan -1.27487878 -1.21733425 -1.22543713]
[       nan 0.55297131 0.82716893 0.28752959]
[        nan -1.5452708  -1.60236309 -1.38552282]
[       nan 0.44120928 0.32663143 0.50097718]
[       nan -0.9576188 -0.8323054 -0.990017 ]
[       nan 0.84138947 1.1390423  0.5386444 ]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan  0.2573427  -0.0622477   0.49783825]
[       nan 0.98199333 1.09668913 0.81487069]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 1.88330008 1.86674682 1.75655123]
[        nan -1.72553215 -1.98739194 -1.38552282]
[       nan 0.44120928 0.32663143 0.50097718]
[        nan -0.64396405 -0.52428232 -0.69181816]
[       nan 0.80173198 0.71166028 0.81487069]
[       nan 1.45788329 1.78974105 1.07854124]
[       nan 0.44120928 0.32663143 0.50097718]
[        nan  0.79812675 -0.44727655  1.75655123]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -1.63540148 -1.60236309 -1.53933064]
[        nan -1.45514013 -1.3328429  -1.44516259]
[        nan -0.73409473 -0.63979098 -0.75459686]
[       nan 0.34747337 0.51529557 0.18708367]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan -0.5970961  -0.44727655 -0.67612349]
[       nan 0.98199333 1.09668913 0.81487069]
[       nan 0.98199333 1.09668913 0.81487069]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.62147063 0.71166028 0.50097718]
[       nan 1.00722992 1.31615557 0.68303542]
[        nan -0.0635225   0.16491932 -0.24608938]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -1.07298607 -0.90931117 -1.12813014]
[        nan -1.76879488 -1.69862031 -1.6962774 ]
[        nan -0.64396405 -0.52428232 -0.69181816]
[       nan 0.44120928 0.32663143 0.50097718]
[        nan -0.5430177  -0.35101934 -0.66042881]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.07433819  0.16106903 -0.25864512]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan -1.27487878 -1.21733425 -1.22857607]
[        nan -1.48037672 -1.34439377 -1.48282981]
[        nan -0.10318    -0.0622477  -0.12994878]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan -0.8242254  -0.63979098 -0.91154362]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.80173198 0.71166028 0.81487069]
[       nan 0.62147063 0.80791749 0.4225038 ]
[       nan 1.88330008 1.86674682 1.75655123]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 2.24382278 2.63680452 1.75969016]
[       nan 0.26094793 0.32663143 0.18708367]
[        nan -1.1847481  -1.12107703 -1.15010269]
[        nan -1.72553215 -1.79487752 -1.54246958]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -1.1847481  -1.12107703 -1.15010269]
[        nan -1.17753765 -1.01711925 -1.21915926]
[       nan 0.89186265 0.9041747  0.81487069]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -0.29065181 -0.07379857 -0.44698122]
[       nan 0.45202496 0.70780999 0.21219515]
[        nan -1.09461743 -1.02481982 -1.06849038]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -1.5452708  -1.60236309 -1.38552282]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -1.36500945 -1.60236309 -1.07162931]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.26094793 0.32663143 0.18708367]
[       nan 0.38713087 0.65390595 0.14313858]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.53855041 0.77326489 0.3063632 ]
[        nan -0.19331068 -0.0622477  -0.28689553]
[        nan -1.09461743 -1.02481982 -1.07162931]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.39159816 -0.25476213 -0.4720927 ]
[        nan -1.35058854 -1.20963367 -1.36355028]
[       nan 1.16225468 1.09668913 1.1287642 ]
[        nan -0.56104383 -0.92086203 -0.22411683]
[       nan 0.44120928 0.32663143 0.50097718]
[        nan -2.08605485 -2.37242079 -1.69941633]
[       nan 0.61426017 0.89647413 0.34089149]
[        nan -1.63540148 -1.60236309 -1.53933064]
[        nan -1.5452708  -1.60236309 -1.38552282]
[       nan 0.44120928 0.32663143 0.50097718]
[       nan 0.98199333 1.09668913 0.81487069]
[        nan  0.17081725  0.37668518 -0.01066924]
[        nan  0.2573427  -0.0622477   0.49783825]
[       nan 0.88104697 1.15059316 0.59514523]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -0.55383338 -0.44727655 -0.60078904]
[        nan -0.91075085 -0.7321979  -0.98687806]
[        nan -0.64396405 -0.8323054  -0.44384229]
[       nan 0.98199333 1.09668913 0.81487069]
[        nan -1.94184577 -1.8333804  -1.88461351]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.26094793 0.32663143 0.18708367]
[        nan -0.44928179 -0.23936097 -0.58509437]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -0.28344135 -0.44727655 -0.12994878]
[       nan 0.53855041 0.77326489 0.3063632 ]
[        nan -0.56104383 -0.92086203 -0.22411683]
[       nan 3.86617493 4.17691991 3.32601878]
[        nan -1.36500945 -1.60236309 -1.07162931]
[       nan 0.72602221 1.01583307 0.43819848]
[        nan -1.5452708  -1.40984867 -1.53933064]
[        nan -0.96843448 -0.80150309 -1.03082315]
[        nan -1.10543311 -0.94396377 -1.15638056]
[        nan -0.21133681  0.01475807 -0.37792465]
[       nan 0.73323266 1.02353365 0.44447635]
[        nan -0.83864631 -0.65519213 -0.92409936]
[        nan -0.10318    -0.0622477  -0.12994878]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan -0.50696543 -0.35101934 -0.59765011]
[        nan  0.79812675 -0.44727655  1.75655123]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -1.22801083 -1.07487357 -1.26310435]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -0.51778111 -0.31251646 -0.64473414]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan  0.19965907  0.45369095 -0.02008605]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -0.44928179 -0.23936097 -0.58509437]
[       nan 0.55297131 0.83101922 0.28752959]
[        nan -0.62233269 -0.44727655 -0.72006858]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan -0.56104383 -0.92086203 -0.22411683]
[       nan 0.70799607 0.99658163 0.4225038 ]
[       nan 0.26094793 0.32663143 0.18708367]
[       nan 3.29294384 1.59337634 4.43406288]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan -0.55383338 -0.35486963 -0.67298455]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.73409473 -0.63979098 -0.75459686]
[       nan 0.86302084 1.16214403 0.55747801]
[       nan 0.26094793 0.32663143 0.18708367]
[        nan  0.09510748  0.34203259 -0.11111517]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -1.72553215 -1.98739194 -1.38552282]
[        nan -0.4637027  -0.44727655 -0.44384229]
[        nan -0.64396405 -0.8323054  -0.44384229]
[       nan 0.89186265 0.9041747  0.81487069]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.53133995 0.51914586 0.50097718]
[        nan -0.64396405 -0.57818636 -0.65101201]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan -0.74130518 -0.62053953 -0.78598622]
[       nan 0.79812675 1.08898855 0.50097718]
[        nan -1.9057935  -1.79487752 -1.85322416]
[        nan -1.06938084 -0.90546088 -1.12499121]
[        nan -0.56104383 -0.92086203 -0.22411683]
[       nan 0.26094793 0.42288864 0.10861029]
[        nan -1.9057935  -1.79487752 -1.85322416]
[        nan -0.56825428 -0.36642049 -0.68867923]
[       nan 2.27266459 2.66760682 1.78480164]
[        nan -0.88911949 -0.75144934 -0.9366551 ]
[       nan 0.80173198 0.71166028 0.81487069]
[       nan 0.50970859 0.78096547 0.24986237]
[       nan 0.43760405 0.51529557 0.34403043]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan -0.4096243  -0.1970078  -0.55056608]
[        nan -1.00448675 -1.21733425 -0.7577358 ]
[       nan 1.0324665  1.3392573  0.70500796]
[        nan -1.88776737 -1.79487752 -1.8218348 ]
[        nan  0.17442248  0.42673893 -0.04205859]
[        nan -0.78817313 -0.60128809 -0.88015427]
[        nan -1.1847481  -1.06332271 -1.19404778]
[        nan -0.91435608 -0.8323054  -0.91468256]
[        nan -0.56104383 -0.92086203 -0.22411683]
[       nan 0.44120928 0.32663143 0.50097718]
[        nan -1.1306697  -0.9670655  -1.17835311]
[       nan 1.62011851 1.97070461 1.21665439]
[        nan -1.5452708  -1.40984867 -1.53933064]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.10318    -0.0622477  -0.12994878]
[        nan  0.17442248  0.42673893 -0.04205859]
[       nan 0.53133995 0.71166028 0.34403043]
[        nan -0.55383338 -0.44727655 -0.59765011]
[       nan 1.76432759 1.35080817 1.96999881]
[        nan -0.10318    -0.0622477  -0.12994878]
[       nan 1.88330008 1.86674682 1.75655123]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 0.26094793 0.32663143 0.18708367]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan -0.91435608 -0.8323054  -0.91154362]
[        nan -0.4637027  -0.25476213 -0.59765011]
[        nan -1.09461743 -1.02481982 -1.06849038]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -1.1847481  -1.21733425 -1.07162931]
[       nan 0.27176361 0.49604412 0.06780414]
[        nan -0.56104383 -0.92086203 -0.22411683]
[        nan -1.1847481  -1.21733425 -1.07162931]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan -0.79538359 -0.71294646 -0.80168089]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.56104383 -0.92086203 -0.22411683]
[       nan 0.80173198 0.71166028 0.81487069]
[        nan -1.68947988 -1.60236309 -1.6334987 ]
[       nan 0.98199333 1.09668913 0.81487069]
[        nan -0.19331068 -0.25476213 -0.12994878]
[        nan -0.55383338 -0.63979098 -0.44070335]
[        nan -0.8242254  -0.67829386 -0.88015427]
[       nan 2.42408413 2.82931894 1.91663692]
[       nan 0.7116013  0.42673893 0.89334407]
[        nan -1.1847481  -1.02481982 -1.22543713]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan -1.10543311 -0.94396377 -1.15638056]
[       nan 1.06851877 1.28535326 0.81487069]
[       nan 0.70799607 0.90032441 0.50097718]
