[nan nan nan nan]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan -0.64396405 -0.44727655 -0.75459686]
[       nan 2.04193007 2.42118836 1.5839098 ]
[       nan 0.34747337 0.51529557 0.18708367]
[       nan 1.28843762 1.61262778 0.93101129]
[        nan -1.5452708  -1.50610588 -1.4639962 ]
[        nan -0.8242254  -0.67829386 -0.88015427]
[        nan  0.2573427  -0.0622477   0.49783825]
[       nan 0.44120928 0.32663143 0.50097718]
[       nan -0.8242254 -0.8323054 -0.7577358]
[        nan -1.72553215 -1.98739194 -1.38552282]
[       nan 0.98199333 1.09668913 0.81487069]
[        nan -0.28344135 -0.0622477  -0.44070335]
[        nan -0.05270682  0.16106903 -0.2209779 ]
[       nan 0.52773472 0.70780999 0.34403043]
[        nan -1.1847481  -1.21733425 -1.07162931]
[       nan 0.50249814 0.77711518 0.2435845 ]
[        nan  0.2573427  -0.0622477   0.49783825]
[       nan 0.70799607 0.90032441 0.50097718]
[        nan -1.72553215 -1.98739194 -1.38552282]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -0.38438771 -0.17005578 -0.52859354]
[       nan 0.6178654  0.85412095 0.37855871]
[       nan 0.26094793 0.32663143 0.18708367]
[       nan 0.7116013  0.42673893 0.89334407]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 0.98199333 1.09668913 0.81487069]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -0.56104383 -0.40107309 -0.65101201]
[        nan -1.09461743 -1.02481982 -1.06849038]
[        nan -0.71967382 -0.54353376 -0.8110977 ]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan -1.49479762 -1.35979492 -1.49538555]
[        nan -1.1847481  -1.21733425 -1.07162931]
[       nan 0.25373747 0.51144528 0.02699798]
[        nan -0.64396405 -0.44727655 -0.75459686]
[        nan  0.79812675 -0.44727655  1.75655123]
[        nan -1.00448675 -0.8323054  -1.06849038]
[        nan  0.08068658  0.32663143 -0.12367091]
[       nan 0.83778425 1.13519201 0.53550547]
[       nan 0.70439085 0.98888105 0.41936487]
[       nan 0.62147063 0.80791749 0.4225038 ]
[        nan -1.08019652 -0.92856261 -1.12185227]
[       nan 0.7116013  0.42673893 0.89334407]
[       nan 0.88825742 1.09283884 0.65792394]
[        nan  0.2573427  -0.0622477   0.49783825]
[        nan -1.14869583 -0.99016723 -1.19404778]
[        nan -1.27487878 -1.21733425 -1.22543713]
[        nan -1.27487878 -1.21733425 -1.22543713]
[       nan 0.26094793 0.32663143 0.18708367]
[        nan -0.89632994 -0.72064703 -0.97432232]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan 3.50565223 3.79189106 3.01212527]
[        nan -1.5452708  -1.60236309 -1.38552282]
[       nan 0.93512538 1.22759893 0.62653459]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.55383338 -0.46652799 -0.58509437]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -1.58132307 -1.48685444 -1.53933064]
[        nan -0.50696543 -0.36257021 -0.58509437]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan -1.72553215 -1.60236309 -1.6962774 ]
[       nan 0.26094793 0.32663143 0.18708367]
[        nan -0.2762309  -0.12385232 -0.37792465]
[       nan 0.58181313 0.86182153 0.31264107]
[       nan 1.80398508 2.16706932 1.37674008]
[        nan -1.1847481  -1.21733425 -1.07162931]
[        nan -1.1847481  -1.12107703 -1.15010269]
[       nan 0.80173198 0.71166028 0.81487069]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan -0.55383338 -0.63979098 -0.44070335]
[       nan 0.26094793 0.32663143 0.18708367]
[        nan -1.5452708  -1.60236309 -1.38552282]
[        nan -1.86613601 -1.98739194 -1.63035976]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.62147063 0.80791749 0.4225038 ]
[        nan -0.94319789 -0.77455107 -1.01198954]
[        nan -0.4637027  -0.25861242 -0.59765011]
[        nan -1.72553215 -1.60236309 -1.6962774 ]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 1.66338123 1.97840519 1.28571096]
[        nan -0.60791178 -0.46652799 -0.67612349]
[       nan 0.17081725 0.32663143 0.03013691]
[        nan -0.39159816 -0.23551069 -0.49092632]
[       nan 0.80173198 0.71166028 0.81487069]
[       nan 0.54215563 0.21882335 0.76464773]
[       nan -0.8242254 -0.8323054 -0.7577358]
[       nan 0.62147063 0.71166028 0.50097718]
[        nan -0.72327905 -0.53583319 -0.82365344]
[       nan 0.7116013  0.42673893 0.89334407]
[       nan 0.98199333 1.09668913 0.81487069]
[        nan -0.4637027  -0.44727655 -0.44384229]
[       nan 0.54215563 0.21882335 0.76464773]
[        nan  0.15639634  0.4036372  -0.05775327]
[        nan -1.1847481  -1.02867011 -1.22543713]
[       nan 0.54576086 0.82331864 0.28125172]
[       nan 0.56378699 0.84257009 0.2969464 ]
[        nan -0.69443723 -0.51273146 -0.79226409]
[        nan -0.10318    -0.0622477  -0.12994878]
[       nan 1.16225468 1.28920355 0.97181745]
[        nan  0.08068658  0.32663143 -0.12367091]
[        nan -1.48398194 -1.34824405 -1.48596875]
[       nan 0.6178654  0.90032441 0.34403043]
[       nan 1.06851877 0.90032441 1.1287642 ]
[        nan -1.08019652 -0.92856261 -1.12185227]
[       nan 1.30646376 1.63572951 0.94356703]
[        nan -0.57546474 -0.95551463 -0.22411683]
[       nan 0.3510786  0.32663143 0.34403043]
[        nan -0.68001632 -0.60128809 -0.69181816]
[       nan 0.26094793 0.32663143 0.18708367]
